09/30 17:13:51, 24.96
09/30 17:13:51, 25.6
09/30 17:13:51, 25.6
09/30 17:13:56, 25.6
09/30 17:13:56, 25.6
09/30 17:14:06, 24.66
09/30 17:14:06, 24.66
09/30 17:14:11, 24.66
09/30 17:14:11, 24.76
09/30 17:14:21, 24.66
09/30 17:14:21, 24.86
09/30 17:14:21, 24.86
09/30 17:14:26, 24.86
09/30 17:14:26, 24.86
09/30 17:14:36, 24.86
09/30 17:14:36, 24.76
09/30 17:14:36, 24.86
09/30 17:14:41, 24.86
09/30 17:14:41, 24.86
09/30 17:14:51, 24.86
09/30 17:14:51, 24.76
09/30 17:14:56, 24.66
09/30 17:14:56, 24.66
09/30 17:15:01, 24.76
09/30 17:15:01, 24.76
09/30 17:15:06, 24.76
09/30 17:15:06, 24.76
09/30 17:15:06, 24.76
09/30 17:15:11, 24.76
09/30 17:15:16, 24.66
09/30 17:15:16, 24.66
09/30 17:15:21, 24.76
09/30 17:15:21, 24.86
09/30 17:15:21, 24.76
09/30 17:15:26, 24.86
09/30 17:15:26, 24.76
09/30 17:19:36, 25.16
09/30 17:19:37, 25.16
09/30 17:19:37, 24.96
09/30 17:19:51, 24.96
09/30 17:19:51, 24.76
09/30 17:19:52, 24.66
09/30 17:20:43, 25.77
09/30 17:20:47, 25.77
09/30 17:20:51, 25.77
09/30 17:20:55, 25.77
09/30 17:20:59, 25.27
